CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;CNPJ_CLIENTE;CLIENTE;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;4001747;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;07.779.140/0001-59;JARLISON LINO DE QUEIROZ ME;3262,81;
3;14020373;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;00.796.517/0005-62;FARMACIAS FERNANDES LTDA FL 08;1169,79;
3;14020374;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;00.796.517/0002-10;M L FERNANDES FARMACIA FL 06;1169,79;
3;14020375;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;00.796.517/0001-39;M L FERNANDES MATRIZ 01;1169,79;
3;14020376;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;23.578.040/0001-10;FARMACIA INGAZEIRAS LTDA FL 03;6488,04;
3;14020377;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;07.863.290/0001-46;FARMACIA MANDACARU LTDA FL 05;1169,79;
3;14020378;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;00.796.517/0004-81;FARMACIAS FERNANDES LTDA FL 07;1169,79;
3;14020379;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;05.322.043/0001-07;M.M.DE MACEDO;1169,79;
3;14020380;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;00.796.517/0003-09;M L FERNANDES FL 04;1169,79;
3;33014028;02290277002507;KIMBERLY-CLARK BRASIL IND.E CO;44.840.571/0001-00;FARMACIA POPULAR DA FAMILIA II LTDA;2339,61;
1;42113693;02932074004260;HYPERA S.A;25.033.525/0001-54;ORGANIZACAO POP FARMA LTDA  ME;1283,99;
1;42113694;02932074004260;HYPERA S.A;04.044.047/0014-22;SANTA BRANCA EMPREENDIMENTOS FARMACEUTICOS LTDA;282,51;
1;42113697;02932074004260;HYPERA S.A;17.519.934/0001-37;FRANCISCO GLEISON DA COSTA MARQUES;598,53;
1;42113706;02932074006394;HYPERA S.A;07.467.475/0013-75;FARMACIA DOSE CERTA LJ 11;2268,66;
1;42113707;02932074006394;HYPERA S.A;07.467.475/0003-01;FARMACIA DOSE CERTA LJ 08;547,78;
1;42113708;02932074006394;HYPERA S.A;07.467.475/0028-51;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;2184,04;
1;42113709;02932074006394;HYPERA S.A;07.467.475/0001-31;SANFARMA SANTO ANTONIO FARMAC;1365,45;
1;42113710;02932074006394;HYPERA S.A;07.467.475/0027-70;SANFARMA SANTO ANTONIO FARMACE;3297,66;
1;42113720;02932074004260;HYPERA S.A;25.033.525/0001-54;ORGANIZACAO POP FARMA LTDA  ME;108085,0;
1;42113721;02932074004260;HYPERA S.A;25.033.525/0001-54;ORGANIZACAO POP FARMA LTDA  ME;861,68;
1;42113900;02932074006394;HYPERA S.A;25.033.525/0001-54;ORGANIZACAO POP FARMA LTDA  ME;3359,65;
1;42113902;02932074004260;HYPERA S.A;25.033.525/0001-54;ORGANIZACAO POP FARMA LTDA  ME;238,9;238,9
1;42113903;02932074004260;HYPERA S.A;07.467.475/0003-01;FARMACIA DOSE CERTA LJ 08;493,4;
1;42113905;02932074004260;HYPERA S.A;07.467.475/0001-31;SANFARMA SANTO ANTONIO FARMAC;5038,83;
1;42113906;02932074004260;HYPERA S.A;07.467.475/0015-37;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;1133,92;
1;42113907;02932074004260;HYPERA S.A;07.467.475/0017-07;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;2353,25;
1;42113908;02932074004260;HYPERA S.A;07.467.475/0020-02;FARMACIA DOSE CERTA LJ 20;1360,56;
1;42113909;02932074004260;HYPERA S.A;07.467.475/0026-90;SANFARMA SANTO ANTONIO FARM.;620,22;
1;42113910;02932074004260;HYPERA S.A;07.467.475/0028-51;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;847,09;
1;42113911;02932074004260;HYPERA S.A;07.467.475/0027-70;SANFARMA SANTO ANTONIO FARMACE;2637,88;
1;58060365;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;07.864.812/0001-24;M.M REGO;1262,45;
1;58060366;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;22.076.794/0001-00;R DA SILVA VIEIRA  ME;2516,69;
1;58060367;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;09.605.539/0002-20;MELO E CARVALHO LTDA;3493,56;
1;58060368;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;5756,72;
1;58060370;03485572000104;GEOLAB IND FARMACEUTICA S/A;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;2719,3;
1;58060371;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;901,92;
1;58060372;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;03.884.139/0001-33;A.B DOS SANTOS - ME;963,65;
1;58060373;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;22.076.794/0001-00;R DA SILVA VIEIRA  ME;964,85;
1;58060374;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;30.298.568/0001-00;FARMACIA MAIS SAUDE MEDICAMENTOS EIRELI;1371,02;
1;58060375;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;07.864.812/0001-24;M.M REGO;1025,15;
1;58060376;07863523001778;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;09.605.539/0002-20;MELO E CARVALHO LTDA;720,19;
1;58060377;45992062000165;GERMED FARMACEUTICA LTDA;05.756.389/0001-13;A. ANDRADE BONFIM JUNIOR;3545,55;
1;58060378;45992062000165;GERMED FARMACEUTICA LTDA;05.756.389/0001-13;A. ANDRADE BONFIM JUNIOR;2973,25;
1;58060379;57507378001418;EMS S/A;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;2381,69;
1;58060381;57507378001418;EMS S/A;22.076.794/0001-00;R DA SILVA VIEIRA  ME;1083,19;
1;58060389;02456955000183;NATULAB LABORATORIO LTDA;07.864.812/0001-24;M.M REGO;1965,14;
1;58060390;02456955000183;NATULAB LABORATORIO LTDA;07.864.812/0001-24;M.M REGO;806,52;
1;58060391;02456955000183;NATULAB LABORATORIO LTDA;32.811.520/0001-70;A A HENRIQUE V LIMA LTDA.;4305,85;
1;58060392;02456955000183;NATULAB LABORATORIO LTDA;03.884.139/0001-33;A.B DOS SANTOS - ME;1656,61;
1;58060393;02456955000183;NATULAB LABORATORIO LTDA;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;3386,98;
1;58060394;02456955000183;NATULAB LABORATORIO LTDA;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;1199,13;
1;58060400;03485572000104;GEOLAB IND FARMACEUTICA S/A;07.864.812/0001-24;M.M REGO;1252,63;
1;58060401;57507378001418;EMS S/A;54.932.001/0001-01;ESSENCIAL FARMA TAUA LTDA;1458,84;
1;58060403;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;07.010.069/0001-45;FARMACIA ANDRADE E FEITOSA LTDA;1634,9;
1;58060414;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);09.605.539/0002-20;MELO E CARVALHO LTDA;2811,74;
1;58060416;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;42.597.024/0001-10;S FEITOSA ARRAIS  ME;754,72;
1;58060418;02932074004260;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;256,25;
1;58060419;02932074004260;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;2506,11;
1;58060431;07863523001778;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;683,7;
1;58060432;17562075000169;CIFARMA CIENTIFICA FARMAC LTDA;11.075.849/0001-40;DROGARIA SAO JORGE;464,11;
1;58060433;02932074004260;HYPERA S.A;05.756.389/0001-13;A. ANDRADE BONFIM JUNIOR;11874,25;
1;58060435;45992062000165;GERMED FARMACEUTICA LTDA;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;1879,75;
1;58060444;02932074006394;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;15193,79;
1;58060446;02932074006394;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;1620,34;
1;58060450;02932074004260;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;1129,59;
1;58060451;17562075000169;CIFARMA CIENTIFICA FARMAC LTDA;54.578.070/0001-50;FARMACIA FROTA LTDA;352,23;
1;58060458;03485572000104;GEOLAB IND FARMACEUTICA S/A;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;32101,42;
1;58060459;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;563,15;
1;58060462;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;6053,21;
1;58060466;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;07.864.812/0001-24;M.M REGO;1388,79;
1;58060469;02932074006394;HYPERA S.A;05.756.389/0002-02;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;11840,1;
1;58060477;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;1783,67;
1;58060479;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;44.392.552/0001-68;WELTON FELIX MOREIRA ME;2059,31;
1;58060486;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;09.605.539/0002-20;MELO E CARVALHO LTDA;3342,53;
1;58060487;57507378001418;EMS S/A;51.146.195/0001-13;RM MENDES LTDA;508,2;
1;58060492;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;54.932.001/0001-01;ESSENCIAL FARMA TAUA LTDA;4708,74;
1;58060494;02932074004260;HYPERA S.A;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;195,77;
1;58060500;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;41.414.137/0001-70;ANTONIA COELHO SAMPAIO;3486,64;
1;58060501;03485572000104;GEOLAB IND FARMACEUTICA S/A;18.886.139/0001-40;LUANA BARBOSA BOMFIM ME;996,09;
1;58060502;02932074004260;HYPERA S.A;11.752.631/0001-83;DROGARIA VASCONCELOS LTDA - ME;238,99;
1;82107014;03485572000104;GEOLAB IND FARMACEUTICA S/A;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;10783,4;
1;82107015;03485572000104;GEOLAB IND FARMACEUTICA S/A;44.800.105/0001-09;FARMACIA PROVIDA LTDA;2224,62;
1;82107016;03485572000104;GEOLAB IND FARMACEUTICA S/A;20.804.303/0001-74;FARMACIA PROVIDA LTDA;6454,1;7,55
1;82107017;03485572000104;GEOLAB IND FARMACEUTICA S/A;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;2838,62;4,02
1;82107018;03485572000104;GEOLAB IND FARMACEUTICA S/A;29.080.220/0001-54;PROVIDA FARMACIA LTDA;2611,57;
1;82107019;03485572000104;GEOLAB IND FARMACEUTICA S/A;09.621.926/0001-79;PROVIDA LTDA;402,13;
1;82107020;03485572000104;GEOLAB IND FARMACEUTICA S/A;09.621.926/0002-50;PROVIDA LTDA;4542,1;36,06
1;82107021;02456955000183;NATULAB LABORATORIO LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;3519,92;
1;82107022;02456955000183;NATULAB LABORATORIO LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;960,72;
1;82107023;02456955000183;NATULAB LABORATORIO LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;1723,59;35,03
1;82107024;02456955000183;NATULAB LABORATORIO LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;1388,52;
1;82107025;02456955000183;NATULAB LABORATORIO LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;2029,63;
1;82107026;02456955000183;NATULAB LABORATORIO LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;548,41;
1;82107027;02456955000183;NATULAB LABORATORIO LTDA;09.621.926/0002-50;PROVIDA LTDA;1587,14;7,64
1;82107028;02456955000183;NATULAB LABORATORIO LTDA;09.621.926/0002-50;PROVIDA LTDA;2838,31;12,23
1;82107029;02456955000183;NATULAB LABORATORIO LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;4080,47;
1;82107030;02456955000183;NATULAB LABORATORIO LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;1452,37;
1;82107148;02932074004260;HYPERA S.A;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;603,67;
1;82107150;02932074004260;HYPERA S.A;44.794.065/0001-21;THIAGO P F VASCONELOS FARMACIA  ME;506,87;
1;82107152;02932074006394;HYPERA S.A;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;4570,18;
1;82107153;02932074004260;HYPERA S.A;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;820,5;
1;82107157;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;6698,51;6,87
1;82107158;07863523001778;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;09.621.926/0001-79;PROVIDA LTDA;660,72;
1;82107159;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;20.804.303/0001-74;FARMACIA PROVIDA LTDA;3990,92;
1;82107160;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;09.621.926/0002-50;PROVIDA LTDA;4680,79;
1;82107161;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;2601,66;
1;82107162;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;2680,81;
1;82107163;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;1251,55;
1;82107164;45992062000165;GERMED FARMACEUTICA LTDA;09.621.926/0001-79;PROVIDA LTDA;296,08;
1;82107165;45992062000165;GERMED FARMACEUTICA LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;6236,3;9,5
1;82107166;57507378001418;EMS S/A;05.624.211/0001-19;FARMACIA ESPERANCA DIVINA LTDA;1785,39;
1;82107167;45992062000165;GERMED FARMACEUTICA LTDA;20.804.303/0001-74;FARMACIA PROVIDA LTDA;4741,47;105,2
1;82107168;57507378001418;EMS S/A;05.624.211/0002-08;FARMACIA ESPERANCA DIVINA LTDA;1826,73;
1;82107169;57507378001418;EMS S/A;05.624.211/0003-80;FARMACIA ESPERANCA DIVINA LTDA;3839,36;
1;82107170;57507378001418;EMS S/A;53.975.654/0001-05;FCIA CENTER POPULAR LTDA;2505,34;884,01
1;82107171;45992062000165;GERMED FARMACEUTICA LTDA;09.621.926/0002-50;PROVIDA LTDA;4523,84;
1;82107172;57507378001418;EMS S/A;05.624.211/0005-42;FARMACIA ESPERANCA DIVINA LTDA;3181,93;
1;82107173;57507378001418;EMS S/A;05.624.211/0006-23;FARMACIA ESPERANCA DIVINA LTDA;3492,18;
1;82107174;45992062000165;GERMED FARMACEUTICA LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;3532,35;
1;82107175;57507378001418;EMS S/A;10.483.865/0001-00;FARMACIAS E DROGARIAS FELIX LTDA;997,29;
1;82107176;57507378001418;EMS S/A;08.705.312/0001-02;FARMACIA CENTER POPULAR DR THEBERGE LTDA;724,21;
1;82107177;45992062000165;GERMED FARMACEUTICA LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;2948,94;
1;82107178;45992062000165;GERMED FARMACEUTICA LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;1076,92;13,98
1;82107179;45992062000165;GERMED FARMACEUTICA LTDA;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;2487,83;
1;82107180;45992062000165;GERMED FARMACEUTICA LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;732,25;
1;82107181;45992062000165;GERMED FARMACEUTICA LTDA;09.621.926/0001-79;PROVIDA LTDA;366,13;
1;82107182;45992062000165;GERMED FARMACEUTICA LTDA;20.804.303/0001-74;FARMACIA PROVIDA LTDA;1830,64;
1;82107183;45992062000165;GERMED FARMACEUTICA LTDA;09.621.926/0002-50;PROVIDA LTDA;2196,76;
1;82107184;45992062000165;GERMED FARMACEUTICA LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;732,25;
1;82107185;45992062000165;GERMED FARMACEUTICA LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;549,19;
1;82107186;45992062000165;GERMED FARMACEUTICA LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;1281,44;
1;82107187;57507378001418;EMS S/A;35.440.589/0001-23;FARMACIA CENTER POPULAR LTDA  EPP;1036,84;
1;82107188;57507378001418;EMS S/A;52.917.460/0001-82;JS COMERCIO DE MEDICAMENTOS LTDA;786,08;
1;82107189;57507378001418;EMS S/A;55.303.674/0001-57;JF MEDICAMENTOS LTDA;1185,71;
1;82107190;57507378001418;EMS S/A;05.074.681/0001-56;MEDICAMENTOS FONTENELE LTDA;701,2;
1;82107191;57507378001418;EMS S/A;51.825.864/0001-83;SB COMERCIO DE MEDICAMENTOS LTDA;815,5;
1;82107192;57507378001418;EMS S/A;46.838.837/0001-05;FONTENELE MEDICAMENTOS LTDA  EPP;997,35;
1;82107193;57507378001418;EMS S/A;10.783.115/0001-53;FARMACIA THEBERGE LTDA;2851,38;
1;82107194;57507378001418;EMS S/A;07.033.582/0001-51;DROGARIAS ESPERANCA DIVINA LTDA;845,47;
