fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;total_valor_pedido;total_pedidos_qtd
TORRENT DO BRASIL LTDA;33078528000132;COMERCIAL DE MEDICAMENTOS NUNES LTDA;51.931.819/0001-03;1391.52;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA SANTOS;24.302.049/0001-67;1516.34;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;D DA SILVA RODRIGUES;42.992.871/0001-89;5081.16;1
SOFTYS BRASIL LTDA;44145845001112;A E B COMERCIO DE PRODUTOS FA;19.664.293/0001-30;13582.70;1
ACCUMED PROD MED HOSP LTDA;06105362000123;MARIA EDNA TEIXEIRA QUEIROZ ME;38.611.228/0001-90;1010.85;1
NATULAB LABORATORIO LTDA;02456955000183;SUPERFARMA;10.477.798/0001-10;2768.00;1
NEOQUIMICA;02932074004260;FARMACIA + AMIGA;30.286.080/0001-54;18040.60;1
NEOQUIMICA;02932074004260;FARMACIA ALMEIDA;39.692.980/0001-76;1040.34;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;07.159.873/0001-90;5231.92;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;DROGATEL;05.328.409/0001-55;1168.98;1
SOFTYS BRASIL LTDA;44145845001112;RR FARMA;37.759.822/0001-60;5059.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FARMACIA ESTILO;03.884.139/0001-33;434.19;1
EMS S/A;57507378000365;DROGARIA SAO FRANCISCO;07.130.347/0001-06;1189.07;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA NOGUEIRA;52.830.309/0001-02;210000.00;1
LABORATORIO GLOBO LTDA;17115437000173;FCIA ITINGA;03.459.886/0001-24;2656.60;1
NEOQUIMICA;02932074004260;FARMAROSSI;27.903.685/0001-32;597.73;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIA ULTRA POPULAR;28.721.514/0001-55;19898.76;1
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA SANTOS;24.302.049/0001-67;2362.04;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;ATENDBEM MATRIZ;05.531.235/0001-23;1851.66;1
NEOQUIMICA;02932074004260;ATACADAO MEGAFARMA;40.520.507/0002-71;5465.90;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA AVENIDA;37.957.185/0001-37;1634.94;1
TORRENT DO BRASIL LTDA;33078528000132;DROGARIA MEGA DESCONTAO;19.147.250/0009-34;35641.01;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;PROVIDA;09.621.926/0002-50;7149.98;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMACIA NATURALLE;21.731.183/0003-57;120000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;DROGATEL;05.328.409/0001-55;8083.98;1
MILI S/A;78908266000205;MEDFARMA DRUGSTORE LTDA - ME;21.045.536/0001-01;2543.92;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;LIBORIO & LIBORIO LTDA;21.257.136/0005-85;2399.20;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;FARMACIA DA PRAÇA II;07.219.651/0003-88;425.10;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA JARDIM IRACEMA;41.421.553/0001-03;2205.96;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;DROGARIAS BOM LUGAR;33.938.719/0001-27;1387.20;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FARMACIA BATISTA;28.379.309/0001-53;1530.28;1
GERMED FARMACEUTICA LTDA;45992062000165;DROG SOUSA;05.154.607/0001-40;23000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;TOTAL PLUS;07.641.734/0001-07;10825.80;3
NEOQUIMICA;02932074004260;DROGARIA ULTRA POPULAR;15.434.854/0001-53;2406.36;1
TORRENT DO BRASIL LTDA;33078528000132;NOSSA FARMACIA;06.886.605/0001-08;542.23;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;DROGARIAS BOM LUGAR;33.938.719/0001-27;10078.48;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;POPULARFARMA;40.138.469/0001-06;6159.68;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;GRUPO TOTAL;30035710000118;13029.93;6
NATULAB LABORATORIO LTDA;02456955000183;FARM.SOLONOPOLES;10.505.394/0001-93;1151.72;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA AVENIDA;16.625.643/0001-60;1634.94;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;FARMACIA GENTIL;06.039.028/0008-95;3435.88;1
LABORATORIO GLOBO LTDA;17115437000173;DROGA CENTER;08.713.749/0001-98;9000.00;1
WELLA BRASIL LTDA;37374821000360;A MAIS BARATA DE PACAJUS;56.874.219/0001-74;1000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;POSTO DE MEDICAMENTOS SAUDE DO TRABALHAD;10.534.786/0001-80;120000.00;1
WELLA BRASIL LTDA;37374821000360;ORIGINAL FARMA;13.470.567/0002-54;1000.00;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA AVENIDA;16.625.643/0001-60;15689.30;1
NEOQUIMICA;02932074004260;FARMACIA JAGUARIBANA;06.063.994/0001-71;3332.16;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA NOGUEIRA;45.580.762/0001-42;805.04;1
NEOQUIMICA;02932074004260;FARMACIA MINI PRECO;46.392.732/0001-75;12791.87;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;FERNANDES FARMA;30.530.910/0001-47;690.65;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;FARMACIA CENTER;07.018.013/0001-37;2000.00;1
EMS S/A;57507378000365;DROGARIAS ULTRA POPULAR ;35.812.253/0001-44;3929.30;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;VIDAL BARROSO V E A LTDA;01.249.907/0001-51;2541.00;1
NATULAB LABORATORIO LTDA;02456955000183;FIDELI PHARMA;08.060.598/0001-16;0.00;1
LABORATORIO GLOBO LTDA;17115437000173;FARM.SAO FRANCISCO;07.666.018/0001-76;1535.93;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;DROGARIA MEGA DESCONTAO;27.881.239/0005-06;10000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;CENTRAL POPULAR;25.021.596/0006-41;26865.88;1
NEOQUIMICA;02932074004260;FARM.VASCONCELOS;11.752.631/0001-83;5215.16;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;CENTRO FARMA;20.505.730/0001-51;2573.60;1
EMS S/A;57507378000365;DROGATEL;05.328.409/0001-55;2536.60;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;SUPERMERCADO MORANGUINHO;11.659.770/0009-14;2724.02;1
SOFTYS BRASIL LTDA;44145845001112;JOSE DION FREITAS EIRELI ME;28.280.724/0001-55;25134.60;1
NEOQUIMICA;02932074004260;POPULARFARMA;40.138.469/0001-06;17222.39;1
MILI S/A;78908266000205;POSTO DE MEDICAMENTO CEFARMA;47.703.336/0001-84;3500.17;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;DROGARIA CARNEIRO;23.549.116/0005-03;10122.00;2
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;C E D COMERCIAL LTDA;41.931.131/0001-70;2023.00;1
WELLA BRASIL LTDA;37374821000360;ATACADO DO VALE COMERCIO DE ALIMENTOS ;32.768.826/0001-91;3000.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FARMACIA FARMA FORTE;52.545.850/0001-79;2215.87;1
ACCUMED PROD MED HOSP LTDA;06105362000123;DROGAGILDO;41.454.695/0001-69;1498.25;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIA SAO JOSE;05.358.996/0001-25;6903.75;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA CONFIANCA;11.371.251/0001-07;5060.93;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;SUPERMERCADO CIMIR LTDA;11.468.834/0001-42;1400.04;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA UNIFARMA POPULAR;54.120.760/0001-61;3677.36;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIAS ULTRA POPULAR;31.318.368/0008-00;543.64;1
NEOQUIMICA;02932074004260;FARMACIA SAO MIGUEL;15.601.070/0001-72;11435.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;EXTRA SAO JOSE COMERCIO DE ALIMENTOS LTDA;04.441.266/0004-73;1637.68;1
LABORATORIO GLOBO LTDA;17115437000173;FCO. ELTON APOLONIO MENDES FIL;07.546.558/0002-05;1408.83;1
SOFTYS BRASIL LTDA;44145845001112;SUPERFARMA COMERCIO VAREJISTA DE MEDICAMENTOS EIRELI;10.477.798/0002-00;18448.86;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;COMERCIAL FARMACEUTICO JARDIM LTDA;18.464.782/0001-85;857.08;1
TORRENT DO BRASIL LTDA;33078528000132;FARMACIA PALESTINA;18.331.063/0001-96;828.31;1
TORRENT DO BRASIL LTDA;33078528000132;FARME BRITO DISTRIBUIDORA;96.727.482/0009-02;7690.00;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA PREMIUM;36.142.517/0002-43;1202.75;1
NATULAB LABORATORIO LTDA;02456955000183;JOSE DION FREITAS EIRELI ME;28.280.724/0001-55;0.00;1
